sessiontime,pilot_index,worldpositionz,speed,throttle,steer,brake,gear,enginerpm,enginetemperature,fuelintank,currentlaptime,currentlapnum,lapdistance,totaldistance,worldpositionx,worldpositiony,lat,lon
510.9585,10,-930.9837,319,1.0,0.0,0.0,8,11149,89,50.71057,7.50203,6,623.58203,23250.13672,-185.84161,0.53097,-33.46073790554887,-70.66855447444632
511.00867,10,-930.44092,319,1.0,0.0,0.0,8,11153,89,50.70876,7.55221,6,628.03711,23254.5918,-181.42285,0.53421,-33.46073787638884,-70.66864159905089
511.05869,10,-929.89832,319,1.0,-0.0,0.0,8,11157,89,50.70695,7.60219,6,632.47852,23259.0332,-177.01541,0.5371,-33.46073785037881,-70.66872850041808
511.10861,10,-929.35626,320,1.0,0.0,0.0,8,11161,89,50.70514,7.65217,6,636.91797,23263.47266,-172.61086,0.54014,-33.46073782301879,-70.66881534483494
511.16806,10,-928.71027,320,1.0,-0.00123,0.0,8,11166,89,50.70299,7.71174,6,642.20508,23268.75977,-167.36349,0.54397,-33.460737788548755,-70.66891880715934
511.21707,10,-928.17767,320,1.0,-0.0,0.0,8,11170,89,50.70121,7.7608,6,646.56641,23273.12109,-163.03722,0.54688,-33.460737762358725,-70.66900410813959
511.27585,10,-927.53882,320,1.0,0.00123,0.0,8,11174,89,50.69909,7.81958,6,651.79688,23278.35156,-157.84608,0.55059,-33.460737728968695,-70.6691064617901
511.31534,10,-927.10931,320,1.0,0.0,0.0,8,11177,89,50.69765,7.85881,6,655.31641,23281.87109,-154.35542,0.55305,-33.460737706828674,-70.66917528709712
511.37524,10,-926.45764,320,1.0,0.00123,0.0,8,11182,89,50.69548,7.91873,6,660.65039,23287.20508,-149.06128,0.55661,-33.46073767478864,-70.66927967158475
511.42548,10,-925.91107,320,1.0,0.0,0.0,8,11185,89,50.69366,7.96896,6,665.125,23291.67969,-144.62108,0.55968,-33.46073764715861,-70.66936721897238
511.47528,10,-925.36841,320,1.0,0.0,0.0,8,11189,89,50.69185,8.01897,6,669.56641,23296.12109,-140.21364,0.56296,-33.46073761763858,-70.66945412047838
511.53485,10,-924.71912,320,1.0,0.00123,0.0,8,11193,89,50.68969,8.07849,6,674.87695,23301.43164,-134.94446,0.56605,-33.460737589828554,-70.66955801279114
511.58478,10,-924.17426,321,1.0,0.0,0.0,8,11197,89,50.68788,8.12829,6,679.32812,23305.88281,-130.52786,0.56796,-33.460737572638536,-70.66964509469797
511.64481,10,-923.51794,321,1.0,-0.0,0.0,8,11201,89,50.6857,8.18837,6,684.68164,23311.23633,-125.21344,0.56929,-33.46073756066853,-70.66974987872786
511.69455,10,-922.97412,321,1.0,-0.0,0.0,8,11204,89,50.68389,8.23818,6,689.12109,23315.67578,-120.80923,0.56852,-33.46073756759853,-70.6698367159017
511.75342,10,-922.32867,321,1.0,-0.00123,0.0,8,11209,89,50.68175,8.29726,6,694.38086,23320.93555,-115.59016,0.56696,-33.46073758163855,-70.66993961943926
511.80185,10,-921.79803,321,1.0,0.0,0.0,8,11212,89,50.67999,8.34588,6,698.70703,23325.26172,-111.2951,0.56472,-33.46073760179856,-70.67002430425623
511.85992,10,-921.16193,321,1.0,-0.0,0.0,8,11216,89,50.67788,8.40393,6,703.89258,23330.44727,-106.15025,0.5618,-33.46073762807859,-70.67012574415838
511.90704,10,-920.64557,321,1.0,0.0,0.0,8,11219,89,50.67617,8.45133,6,708.10352,23334.6582,-101.97031,0.55955,-33.46073764832861,-70.67020815915116
511.96378,10,-920.0238,321,1.0,0.0,0.0,8,11222,89,50.6741,8.50795,6,713.17578,23339.73047,-96.93655,0.55706,-33.46073767073864,-70.67030740876248
512.0108,10,-919.50867,321,1.0,0.00123,0.0,8,11225,89,50.67239,8.55514,6,717.37891,23343.93359,-92.76723,0.55477,-33.460737691348655,-70.67038961434082
512.06616,10,-918.90222,321,1.0,-0.0,0.0,8,11229,89,50.67037,8.61064,6,722.33008,23348.88477,-87.85286,0.55156,-33.46073772023868,-70.67048650980797
512.11243,10,-918.39465,322,1.0,0.00123,0.0,8,11232,89,50.66868,8.65682,6,726.4707,23353.02539,-83.74339,0.54917,-33.46073774174871,-70.67056753529786
512.1676,10,-917.78931,322,1.0,-0.0,0.0,8,11235,89,50.66667,8.71219,6,731.41016,23357.96484,-78.84291,0.54676,-33.46073776343873,-70.67066415702463
512.22198,10,-917.19189,322,1.0,-0.0,0.0,8,11238,89,50.66469,8.76664,6,736.2793,23362.83398,-74.01054,0.54435,-33.46073778512875,-70.67075943582675
512.27618,10,-916.59778,322,1.0,0.0,0.0,8,11241,89,50.66272,8.82082,6,741.12891,23367.68359,-69.19794,0.54131,-33.46073781248877,-70.67085432470064
512.33057,10,-916.00067,322,1.0,-0.0,0.0,8,11244,89,50.66074,8.87523,6,745.99609,23372.55078,-64.36787,0.53832,-33.4607378393988,-70.67094955802763
512.38403,10,-915.41425,322,1.0,0.00123,0.0,8,11247,89,50.65879,8.92879,6,750.7832,23377.33789,-59.61637,0.53587,-33.46073786144883,-70.6710432422924
512.43707,10,-914.83075,322,1.0,-0.00123,0.0,8,11250,89,50.65686,8.98199,6,755.54102,23382.0957,-54.89417,0.53361,-33.460737881788845,-70.67113634888113
512.49005,10,-914.24872,322,1.0,-0.00123,0.0,8,11253,89,50.65493,9.03496,6,760.28516,23386.83984,-50.18565,0.53094,-33.46073790581887,-70.67122918565647
512.54242,10,-913.67303,322,1.0,-0.0,0.0,8,11256,89,50.65303,9.08739,6,764.97852,23391.5332,-45.52569,0.5278,-33.4607379340789,-70.67132106488032
512.59479,10,-913.09784,322,1.0,-0.0,0.0,8,11259,89,50.65112,9.13976,6,769.66797,23396.22266,-40.86713,0.52468,-33.46073796215892,-70.67141291649436
512.64673,10,-912.52753,322,1.0,-0.0,0.0,8,11262,89,50.64923,9.1918,6,774.32031,23400.875,-36.24628,0.52164,-33.460737989518954,-70.67150402459104
512.69812,10,-911.96259,322,1.0,-0.0,0.0,8,11264,89,50.64735,9.24324,6,778.92773,23405.48242,-31.67014,0.51908,-33.46073801255898,-70.67159425123263
512.74945,10,-911.39813,323,1.0,-0.00123,0.0,8,11267,89,50.64547,9.29458,6,783.53125,23410.08594,-27.09674,0.51694,-33.460738031819,-70.6716844239264
512.80066,10,-910.83563,323,1.0,0.00123,0.0,8,11270,89,50.6436,9.34594,6,788.13086,23414.68555,-22.52704,0.51447,-33.46073805404902,-70.67177452359407
512.85126,10,-910.27997,323,1.0,0.0,0.0,8,11272,89,50.64175,9.39672,6,792.67383,23419.22852,-18.01472,0.51183,-33.46073807780904,-70.67186349186547
